file,file_size_mb,num_entities,processed_revisions,avg_revisions_per_entity,file_reading_sec,total_process_time_sec,peak_memory_mb
wikidatawiki-20250601-pages-meta-history19.xml-p37906393p37931066.bz2,777.9731588363647,24645,575453,23.349685534591195,1603.667802810669,1976.4066920280457,29354.7109375
wikidatawiki-20250601-pages-meta-history7.xml-p7297503p7338817.bz2,443.32689094543457,36640,1499326,40.92046943231441,826.8849740028381,988.3810007572174,15455.39453125
wikidatawiki-20250601-pages-meta-history24.xml-p63114190p63135657.bz2,4775.626086235046,20937,379075,18.105506997182022,2492.9526948928833,3514.375776529312,53044.8828125
wikidatawiki-20250601-pages-meta-history2.xml-p913016p925086.bz2,858.5335073471069,11888,1299490,109.31106998654106,1685.1322531700134,1688.9143631458282,24404.9921875
wikidatawiki-20250601-pages-meta-history2.xml-p1101747p1114931.bz2,676.4018039703369,12716,1091909,85.86890531613714,1295.24959731102,1296.5885109901428,33379.53515625
wikidatawiki-20250601-pages-meta-history22.xml-p52276321p52364784.bz2,661.8476076126099,88079,1496450,16.98986137444794,1747.1676285266876,1936.7587003707886,21683.88671875
wikidatawiki-20250601-pages-meta-history27.xml-p92535892p92678222.bz2,706.0995664596558,141443,1495633,10.574104056050848,1741.901216506958,1862.2389435768127,14487.55078125
wikidatawiki-20250601-pages-meta-history1.xml-p1331p1461.bz2,2362.218786239624,107,129187,1207.3551401869158,1642.8652267456055,1670.734270811081,38705.01953125
wikidatawiki-20250601-pages-meta-history10.xml-p14958963p15054794.bz2,1982.420641899109,44185,1382550,31.290030553355212,984.3193337917328,985.2810096740723,17317.421875
wikidatawiki-20250601-pages-meta-history26.xml-p82405081p82492076.bz2,529.4941787719727,86878,1499330,17.257878864614746,1348.9814059734344,1539.1578466892242,9401.16796875
wikidatawiki-20250601-pages-meta-history27.xml-p104848802p104864619.bz2,1063.5449857711792,15489,505456,32.63322357802311,1601.1035149097443,1601.8639423847198,18823.58984375
wikidatawiki-20250601-pages-meta-history24.xml-p61783230p61864741.bz2,624.7590551376343,78486,1464686,18.6617485921056,918.6369407176971,1048.6080477237701,13662.14453125
wikidatawiki-20250601-pages-meta-history27.xml-p95369102p95466084.bz2,212.1730785369873,96423,1497260,15.528037916264791,545.3869581222534,597.3456680774689,17462.3671875
wikidatawiki-20250601-pages-meta-history12.xml-p18485348p18547989.bz2,696.711145401001,53502,1480307,27.668255392321782,835.7297554016113,899.6486775875092,33324.765625
wikidatawiki-20250601-pages-meta-history1.xml-p61950p65142.bz2,1050.2510976791382,3153,666735,211.4605137963844,1702.874061346054,1706.4438223838806,22633.6015625
wikidatawiki-20250601-pages-meta-history25.xml-p66217636p66302190.bz2,778.4793825149536,82968,1279560,15.422331501301707,2113.8639783859253,2296.2170581817627,16282.80078125
wikidatawiki-20250601-pages-meta-history7.xml-p6278398p6311185.bz2,506.9064407348633,28681,1491545,52.00463721627558,1050.9647471904755,1052.3453075885773,20511.28125
wikidatawiki-20250601-pages-meta-history21.xml-p48269183p48327138.bz2,921.7578439712524,57695,797134,13.816344570586706,2041.4510147571564,2439.5233211517334,14841.8203125
wikidatawiki-20250601-pages-meta-history22.xml-p54813640p54895999.bz2,770.3040380477905,81760,1340714,16.398165362035225,2751.4996070861816,3123.409261226654,17301.74609375
wikidatawiki-20250601-pages-meta-history18.xml-p31771583p31835921.bz2,346.04834842681885,62837,1494685,23.786702102264588,936.2617845535278,1073.0351524353027,12036.34765625
wikidatawiki-20250601-pages-meta-history16.xml-p29247577p29248695.bz2,730.9793033599854,959,258981,270.0531803962461,1609.5778856277466,1650.5590302944183,14760.66796875
wikidatawiki-20250601-pages-meta-history18.xml-p32020452p32042327.bz2,779.2553977966309,21840,547126,25.051556776556776,1659.5064957141876,2059.4561529159546,24486.09375
wikidatawiki-20250601-pages-meta-history26.xml-p85208000p85343240.bz2,1062.9681043624878,133150,1498741,11.256034547502816,1718.254063129425,1863.2020547389984,23468.3359375
